year,sport,event,gold_name,gold_noc,tie_gold,silver_name,silver_noc,tie_silver,bronze_name,bronze_noc,tie_bronze
1972,Cross Country Skiing,"Relay, Women",Soviet Union,URS,False,Finland,FIN,False,Norway,NOR,False
1972,Figure Skating,"Singles, Men",Ondrej Nepela,TCH,False,Sergey Chetverukhin,URS,False,Patrick Péra,FRA,False
1972,Figure Skating,"Singles, Women",Trixi Schuba,AUT,False,Karen Magnussen,CAN,False,Janet Lynn,USA,False
1972,Figure Skating,"Pairs, Mixed",Soviet Union 1,URS,False,Soviet Union 2,URS,False,East Germany 1,GDR,False
1972,Ice Hockey,"Ice Hockey, Men",Soviet Union,URS,False,United States,USA,False,Czechoslovakia,TCH,False
1972,Luge,"Singles, Men",Wolfgang Scheidel,GDR,False,Harald Ehrig,GDR,False,Wolfram Fiedler,GDR,False
1972,Luge,"Doubles, Men",Italy 1East Germany 1,ITAGDR,True,—,—,False,East Germany 2,GDR,False
1972,Luge,"Singles, Women",Anna-Maria Müller,GDR,False,Ute Rührold,GDR,False,Margit Schumann,GDR,False
1972,Nordic Combined,"Individual, Men",Ulrich Wehling,GDR,False,Rauno Miettinen,FIN,False,Karl-Heinz Luck,GDR,False
1972,Ski Jumping,"Normal Hill, Individual, Men",Yukio Kasaya,JPN,False,Akitsugu Konno,JPN,False,Seiji Aochi,JPN,False
1972,Ski Jumping,"Large Hill, Individual, Men",Wojciech Fortuna,POL,False,Walter Steiner,SUI,False,Rainer Schmidt,GDR,False
1972,Speed Skating,"500 metres, Men",Erhard Keller,FRG,False,Hasse Börjes,SWE,False,Valery Muratov,URS,False
1972,Speed Skating,"1,500 metres, Men",Ard Schenk,NED,False,Roar Grønvold,NOR,False,Göran Claeson,SWE,False
1972,Speed Skating,"5,000 metres, Men",Ard Schenk,NED,False,Roar Grønvold,NOR,False,Sten Stensen,NOR,False
1972,Speed Skating,"10,000 metres, Men",Ard Schenk,NED,False,Kees Verkerk,NED,False,Sten Stensen,NOR,False
1972,Speed Skating,"500 metres, Women",Anne Henning,USA,False,Vera Krasnova,URS,False,Lyudmila Titova,URS,False
1972,Speed Skating,"1,000 metres, Women",Monika Pflug,FRG,False,Atje Keulen-Deelstra,NED,False,Anne Henning,USA,False
1972,Speed Skating,"1,500 metres, Women",Dianne Holum,USA,False,Stien Baas-Kaiser,NED,False,Atje Keulen-Deelstra,NED,False
1972,Speed Skating,"3,000 metres, Women",Stien Baas-Kaiser,NED,False,Dianne Holum,USA,False,Atje Keulen-Deelstra,NED,False
1976,Alpine Skiing,"Downhill, Men",Franz Klammer,AUT,False,Bernhard Russi,SUI,False,Herbert Plank,ITA,False
1976,Alpine Skiing,"Giant Slalom, Men",Heini Hemmi,SUI,False,Ernst Good,SUI,False,Ingemar Stenmark,SWE,False
1976,Alpine Skiing,"Slalom, Men",Piero Gros,ITA,False,Gustavo Thoeni,ITA,False,Willi Frommelt,LIE,False
1976,Alpine Skiing,"Downhill, Women",Rosi Mittermaier,FRG,False,Brigitte Totschnig,AUT,False,Cindy Nelson,USA,False
1976,Alpine Skiing,"Giant Slalom, Women",Kathy Kreiner,CAN,False,Rosi Mittermaier,FRG,False,Danièle Debernard,FRA,False
1976,Alpine Skiing,"Slalom, Women",Rosi Mittermaier,FRG,False,Claudia Giordani,ITA,False,Hanni Wenzel,LIE,False
1976,Biathlon,"Individual, Men",Nikolay Kruglov,URS,False,Heikki Ikola,FIN,False,Aleksandr Yelizarov,URS,False
1976,Biathlon,"Relay, Men",Soviet Union,URS,False,Finland,FIN,False,East Germany,GDR,False
1976,Bobsleigh,"Two, Men",East Germany 2,GDR,False,West Germany 1,FRG,False,Switzerland 1,SUI,False
1976,Bobsleigh,"Four, Men",East Germany 1,GDR,False,Switzerland 2,SUI,False,West Germany 1,FRG,False
1976,Cross Country Skiing,"15 kilometres, Men",Nikolay Bazhukov,URS,False,Yevgeny Belyayev,URS,False,Arto Koivisto,FIN,False
1976,Cross Country Skiing,"30 kilometres, Men",Sergey Savelyev,URS,False,Bill Koch,USA,False,Ivan Garanin,URS,False
1976,Cross Country Skiing,"50 kilometres, Men",Ivar Formo,NOR,False,Gert-Dietmar Klause,GDR,False,Benny Södergren,SWE,False
1976,Cross Country Skiing,"Relay, Men",Finland,FIN,False,Norway,NOR,False,Soviet Union,URS,False
1976,Cross Country Skiing,"5 kilometres, Women",Helena Takalo,FIN,False,Raisa Smetanina,URS,False,Nina Baldycheva,URS,False
1976,Cross Country Skiing,"10 kilometres, Women",Raisa Smetanina,URS,False,Helena Takalo,FIN,False,Galina Kulakova,URS,False
1976,Cross Country Skiing,"Relay, Women",Soviet Union,URS,False,Finland,FIN,False,East Germany,GDR,False
1976,Figure Skating,"Singles, Men",John Curry,GBR,False,Vladimir Kovalyov,URS,False,Toller Cranston,CAN,False
1976,Figure Skating,"Singles, Women",Dorothy Hamill,USA,False,Dianne de Leeuw,NED,False,Christine Errath,GDR,False
1976,Figure Skating,"Pairs, Mixed",Soviet Union 1,URS,False,East Germany 1,GDR,False,East Germany 2,GDR,False
1976,Figure Skating,"Ice Dance, Mixed",Soviet Union 1,URS,False,Soviet Union 2,URS,False,United States 1,USA,False
1976,Ice Hockey,"Ice Hockey, Men",Soviet Union,URS,False,Czechoslovakia,TCH,False,West Germany,FRG,False
1976,Luge,"Singles, Men",Dettlef Günther,GDR,False,Josef Fendt,FRG,False,Hans Rinn,GDR,False
1976,Luge,"Doubles, Men",East Germany 1,GDR,False,West Germany 1,FRG,False,Austria 1,AUT,False
1976,Luge,"Singles, Women",Margit Schumann,GDR,False,Ute Rührold,GDR,False,Elisabeth Demleitner,FRG,False
1976,Nordic Combined,"Individual, Men",Ulrich Wehling,GDR,False,Urban Hettich,FRG,False,Konrad Winkler,GDR,False
1976,Ski Jumping,"Normal Hill, Individual, Men",Hans-Georg Aschenbach,GDR,False,Jochen Danneberg,GDR,False,Karl Schnabl,AUT,False
1976,Ski Jumping,"Large Hill, Individual, Men",Karl Schnabl,AUT,False,Toni Innauer,AUT,False,Henry Glaß,GDR,False
1976,Speed Skating,"500 metres, Men",Yevgeny Kulikov,URS,False,Valery Muratov,URS,False,Dan Immerfall,USA,False
1976,Speed Skating,"1,000 metres, Men",Peter Mueller,USA,False,Jørn Didriksen,NOR,False,Valery Muratov,URS,False
1976,Speed Skating,"1,500 metres, Men",Jan Egil Storholt,NOR,False,Yury Kondakov,URS,False,Hans van Helden,NED,False
1976,Speed Skating,"5,000 metres, Men",Sten Stensen,NOR,False,Piet Kleine,NED,False,Hans van Helden,NED,False
1976,Speed Skating,"10,000 metres, Men",Piet Kleine,NED,False,Sten Stensen,NOR,False,Hans van Helden,NED,False
1976,Speed Skating,"500 metres, Women",Sheila Young,USA,False,Cathy Priestner,CAN,False,Tatyana Averina,URS,False
1976,Speed Skating,"1,000 metres, Women",Tatyana Averina,URS,False,Leah Poulos,USA,False,Sheila Young,USA,False
1976,Speed Skating,"1,500 metres, Women",Galina Stepanskaya,URS,False,Sheila Young,USA,False,Tatyana Averina,URS,False
1976,Speed Skating,"3,000 metres, Women",Tatyana Averina,URS,False,Andrea Mitscherlich,GDR,False,Lisbeth Korsmo,NOR,False
1980,Alpine Skiing,"Downhill, Men",Leonhard Stock,AUT,False,Peter Wirnsberger,AUT,False,Steve Podborski,CAN,False
1980,Alpine Skiing,"Giant Slalom, Men",Ingemar Stenmark,SWE,False,Andi Wenzel,LIE,False,Hans Enn,AUT,False
1980,Alpine Skiing,"Slalom, Men",Ingemar Stenmark,SWE,False,Phil Mahre,USA,False,Jacques Lüthy,SUI,False
1980,Alpine Skiing,"Downhill, Women",Annemarie Moser-Pröll,AUT,False,Hanni Wenzel,LIE,False,Marie-Theres Nadig,SUI,False
1980,Alpine Skiing,"Giant Slalom, Women",Hanni Wenzel,LIE,False,Irene Epple,FRG,False,Perrine Pelen,FRA,False
1980,Alpine Skiing,"Slalom, Women",Hanni Wenzel,LIE,False,Christa Kinshofer,FRG,False,Erika Hess,SUI,False
1980,Biathlon,"Sprint, Men",Frank Ullrich,GDR,False,Vladimir Alikin,URS,False,Anatoly Alyabyev,URS,False
1980,Biathlon,"Individual, Men",Anatoly Alyabyev,URS,False,Frank Ullrich,GDR,False,Eberhard Rösch,GDR,False
1980,Biathlon,"Relay, Men",Soviet Union,URS,False,East Germany,GDR,False,West Germany,FRG,False
1980,Bobsleigh,"Two, Men",Switzerland 2,SUI,False,East Germany 2,GDR,False,East Germany 1,GDR,False
1980,Bobsleigh,"Four, Men",East Germany 1,GDR,False,Switzerland 1,SUI,False,East Germany 2,GDR,False
1980,Cross Country Skiing,"15 kilometres, Men",Thomas Wassberg,SWE,False,Juha Mieto,FIN,False,Ove Aunli,NOR,False
1980,Cross Country Skiing,"30 kilometres, Men",Nikolay Zimyatov,URS,False,Vasily Rochev,URS,False,Ivan Lebanov,BUL,False
1980,Cross Country Skiing,"50 kilometres, Men",Nikolay Zimyatov,URS,False,Juha Mieto,FIN,False,Aleksandr Zavyalov,URS,False
1980,Cross Country Skiing,"Relay, Men",Soviet Union,URS,False,Norway,NOR,False,Finland,FIN,False
1980,Cross Country Skiing,"5 kilometres, Women",Raisa Smetanina,URS,False,Hilkka Riihivuori,FIN,False,Květa Jeriová,TCH,False
1980,Cross Country Skiing,"10 kilometres, Women",Barbara Petzold,GDR,False,Hilkka Riihivuori,FIN,False,Helena Takalo,FIN,False
1980,Cross Country Skiing,"Relay, Women",East Germany,GDR,False,Soviet Union,URS,False,Norway,NOR,False
1980,Figure Skating,"Singles, Men",Robin Cousins,GBR,False,Jan Hoffmann,GDR,False,Charlie Tickner,USA,False
1980,Figure Skating,"Singles, Women",Anett Pötzsch,GDR,False,Linda Fratianne,USA,False,Dagmar Lurz,FRG,False
1980,Figure Skating,"Pairs, Mixed",Soviet Union 1,URS,False,Soviet Union 2,URS,False,East Germany 1,GDR,False
1980,Figure Skating,"Ice Dance, Mixed",Soviet Union 1,URS,False,Hungary,HUN,False,Soviet Union 2,URS,False
1980,Ice Hockey,"Ice Hockey, Men",United States,USA,False,Soviet Union,URS,False,Sweden,SWE,False
1980,Luge,"Singles, Men",Bernhard Glass,GDR,False,Paul Hildgartner,ITA,False,Anton Winkler,FRG,False
1980,Luge,"Doubles, Men",East Germany 1,GDR,False,Italy 1,ITA,False,Austria 1,AUT,False
1980,Luge,"Singles, Women",Vera Zozuļa,URS,False,Melitta Sollmann,GDR,False,Ingrīda Amantova,URS,False
1980,Nordic Combined,"Individual, Men",Ulrich Wehling,GDR,False,Jouko Karjalainen,FIN,False,Konrad Winkler,GDR,False
1980,Ski Jumping,"Normal Hill, Individual, Men",Toni Innauer,AUT,False,Manfred DeckertHirokazu Yagi,GDRJPN,True,—,—,False
1980,Ski Jumping,"Large Hill, Individual, Men",Jouko Törmänen,FIN,False,Hubert Neuper,AUT,False,Jari Puikkonen,FIN,False
1980,Speed Skating,"500 metres, Men",Eric Heiden,USA,False,Yevgeny Kulikov,URS,False,Lieuwe de Boer,NED,False
1980,Speed Skating,"1,000 metres, Men",Eric Heiden,USA,False,Gaétan Boucher,CAN,False,Vladimir LobanovFrode Rønning,URSNOR,True
1980,Speed Skating,"1,500 metres, Men",Eric Heiden,USA,False,Kay Arne Stenshjemmet,NOR,False,Terje Andersen,NOR,False
1980,Speed Skating,"5,000 metres, Men",Eric Heiden,USA,False,Kay Arne Stenshjemmet,NOR,False,Tom Erik Oxholm,NOR,False
1980,Speed Skating,"10,000 metres, Men",Eric Heiden,USA,False,Piet Kleine,NED,False,Tom Erik Oxholm,NOR,False
1980,Speed Skating,"500 metres, Women",Karin Enke,GDR,False,Leah Poulos-Mueller,USA,False,Nataliya Petrusyova,URS,False
1980,Speed Skating,"1,000 metres, Women",Nataliya Petrusyova,URS,False,Leah Poulos-Mueller,USA,False,Sylvia Albrecht,GDR,False
1980,Speed Skating,"1,500 metres, Women",Annie Borckink,NED,False,Ria Visser,NED,False,Sabine Becker,GDR,False
1980,Speed Skating,"3,000 metres, Women",Bjørg Eva Jensen,NOR,False,Sabine Becker,GDR,False,Beth Heiden,USA,False
1984,Alpine Skiing,"Downhill, Men",Bill Johnson,USA,False,Peter Müller,SUI,False,Anton Steiner,AUT,False
1984,Alpine Skiing,"Giant Slalom, Men",Max Julen,SUI,False,Jure Franko,YUG,False,Andi Wenzel,LIE,False
1984,Alpine Skiing,"Slalom, Men",Phil Mahre,USA,False,Steve Mahre,USA,False,Didier Bouvet,FRA,False
1984,Alpine Skiing,"Downhill, Women",Michela Figini,SUI,False,Maria Walliser,SUI,False,Olga Charvátová,TCH,False
1984,Alpine Skiing,"Giant Slalom, Women",Debbie Armstrong,USA,False,Christin Cooper,USA,False,Perrine Pelen,FRA,False
1984,Alpine Skiing,"Slalom, Women",Paola Magoni,ITA,False,Perrine Pelen,FRA,False,Ursula Konzett,LIE,False
1984,Biathlon,"Sprint, Men",Eirik Kvalfoss,NOR,False,Peter Angerer,FRG,False,Matthias Jacob,GDR,False
1984,Biathlon,"Individual, Men",Peter Angerer,FRG,False,Frank-Peter Roetsch,GDR,False,Eirik Kvalfoss,NOR,False
1984,Biathlon,"Relay, Men",Soviet Union,URS,False,Norway,NOR,False,West Germany,FRG,False
1984,Bobsleigh,"Two, Men",East Germany 2,GDR,False,East Germany 1,GDR,False,Soviet Union 2,URS,False
1984,Bobsleigh,"Four, Men",East Germany 1,GDR,False,East Germany 2,GDR,False,Switzerland 1,SUI,False
1984,Cross Country Skiing,"15 kilometres, Men",Gunde Svan,SWE,False,Aki Karvonen,FIN,False,Harri Kirvesniemi,FIN,False
1984,Cross Country Skiing,"30 kilometres, Men",Nikolay Zimyatov,URS,False,Aleksandr Zavyalov,URS,False,Gunde Svan,SWE,False
1984,Cross Country Skiing,"50 kilometres, Men",Thomas Wassberg,SWE,False,Gunde Svan,SWE,False,Aki Karvonen,FIN,False
1984,Cross Country Skiing,"Relay, Men",Sweden,SWE,False,Soviet Union,URS,False,Finland,FIN,False
1984,Cross Country Skiing,"5 kilometres, Women",Marja-Liisa Hämäläinen,FIN,False,Berit Aunli,NOR,False,Květa Jeriová,TCH,False
1984,Cross Country Skiing,"10 kilometres, Women",Marja-Liisa Hämäläinen,FIN,False,Raisa Smetanina,URS,False,Brit Pettersen,NOR,False
1984,Cross Country Skiing,"20 kilometres, Women",Marja-Liisa Hämäläinen,FIN,False,Raisa Smetanina,URS,False,Anne Jahren,NOR,False
1984,Cross Country Skiing,"Relay, Women",Norway,NOR,False,Czechoslovakia,TCH,False,Finland,FIN,False
1984,Figure Skating,"Singles, Men",Scott Hamilton,USA,False,Brian Orser,CAN,False,Jozef Sabovčík,TCH,False
1984,Figure Skating,"Singles, Women",Katarina Witt,GDR,False,Rosalynn Sumners,USA,False,Kira Ivanova,URS,False
1984,Figure Skating,"Pairs, Mixed",Soviet Union 1,URS,False,United States 1,USA,False,Soviet Union 2,URS,False
1984,Figure Skating,"Ice Dance, Mixed",Great Britain 1,GBR,False,Soviet Union 1,URS,False,Soviet Union 2,URS,False
1984,Ice Hockey,"Ice Hockey, Men",Soviet Union,URS,False,Czechoslovakia,TCH,False,Sweden,SWE,False
1984,Luge,"Singles, Men",Paul Hildgartner,ITA,False,Sergey Danilin,URS,False,Valery Dudin,URS,False
1984,Luge,"Doubles, Men",West Germany 1,FRG,False,Soviet Union 1,URS,False,East Germany 1,GDR,False
1984,Luge,"Singles, Women",Steffi Martin,GDR,False,Bettina Schmidt,GDR,False,Ute Weiß,GDR,False
1984,Nordic Combined,"Individual, Men",Tom Sandberg,NOR,False,Jouko Karjalainen,FIN,False,Jukka Ylipulli,FIN,False
1984,Ski Jumping,"Normal Hill, Individual, Men",Jens Weißflog,GDR,False,Matti Nykänen,FIN,False,Jari Puikkonen,FIN,False
1984,Ski Jumping,"Large Hill, Individual, Men",Matti Nykänen,FIN,False,Jens Weißflog,GDR,False,Pavel Ploc,TCH,False
1984,Speed Skating,"500 metres, Men",Sergey Fokichev,URS,False,Yoshihiro Kitazawa,JPN,False,Gaétan Boucher,CAN,False
1984,Speed Skating,"1,000 metres, Men",Gaétan Boucher,CAN,False,Sergey Khlebnikov,URS,False,Kai Arne Engelstad,NOR,False
1984,Speed Skating,"1,500 metres, Men",Gaétan Boucher,CAN,False,Sergey Khlebnikov,URS,False,Oleg Bozhev,URS,False
1984,Speed Skating,"5,000 metres, Men",Tomas Gustafson,SWE,False,Igor Malkov,URS,False,René Schöfisch,GDR,False
1984,Speed Skating,"10,000 metres, Men",Igor Malkov,URS,False,Tomas Gustafson,SWE,False,René Schöfisch,GDR,False
1984,Speed Skating,"500 metres, Women",Christa Rothenburger,GDR,False,Karin Enke,GDR,False,Nataliya Glebova,URS,False
1984,Speed Skating,"1,000 metres, Women",Karin Enke,GDR,False,Andrea Schöne,GDR,False,Nataliya Petrusyova,URS,False
1984,Speed Skating,"1,500 metres, Women",Karin Enke,GDR,False,Andrea Schöne,GDR,False,Nataliya Petrusyova,URS,False
1984,Speed Skating,"3,000 metres, Women",Andrea Schöne,GDR,False,Karin Enke,GDR,False,Gabi Schönbrunn,GDR,False
1988,Alpine Skiing,"Downhill, Men",Pirmin Zurbriggen,SUI,False,Peter Müller,SUI,False,Franck Piccard,FRA,False
1988,Alpine Skiing,"Super G, Men",Franck Piccard,FRA,False,Helmut Mayer,AUT,False,Lars-Börje Eriksson,SWE,False
1988,Alpine Skiing,"Giant Slalom, Men",Alberto Tomba,ITA,False,Hubert Strolz,AUT,False,Pirmin Zurbriggen,SUI,False
1988,Alpine Skiing,"Slalom, Men",Alberto Tomba,ITA,False,Frank Wörndl,FRG,False,Paul Frommelt,LIE,False
1988,Alpine Skiing,"Combined, Men",Hubert Strolz,AUT,False,Bernhard Gstrein,AUT,False,Paul Accola,SUI,False
1988,Alpine Skiing,"Downhill, Women",Marina Kiehl,FRG,False,Brigitte Oertli,SUI,False,Karen Percy,CAN,False
1988,Alpine Skiing,"Super G, Women",Sigrid Wolf,AUT,False,Michela Figini,SUI,False,Karen Percy,CAN,False
1988,Alpine Skiing,"Giant Slalom, Women",Vreni Schneider,SUI,False,Christa Kinshofer-Güthlein,FRG,False,Maria Walliser,SUI,False
1988,Alpine Skiing,"Slalom, Women",Vreni Schneider,SUI,False,Mateja Svet,YUG,False,Christa Kinshofer-Güthlein,FRG,False
1988,Alpine Skiing,"Combined, Women",Anita Wachter,AUT,False,Brigitte Oertli,SUI,False,Maria Walliser,SUI,False
1988,Biathlon,"Sprint, Men",Frank-Peter Roetsch,GDR,False,Valery Medvedtsev,URS,False,Sergey Chepikov,URS,False
1988,Biathlon,"Individual, Men",Frank-Peter Roetsch,GDR,False,Valery Medvedtsev,URS,False,Johann Passler,ITA,False
1988,Biathlon,"Relay, Men",Soviet Union,URS,False,West Germany,FRG,False,Italy,ITA,False
1988,Bobsleigh,"Two, Men",Soviet Union 1,URS,False,East Germany 1,GDR,False,East Germany 2,GDR,False
1988,Bobsleigh,"Four, Men",Switzerland 1,SUI,False,East Germany 1,GDR,False,Soviet Union 2,URS,False
1988,Cross Country Skiing,"15 kilometres, Men",Mikhail Devyatyarov,URS,False,Pål Gunnar Mikkelsplass,NOR,False,Vladimir Smirnov,URS,False
1988,Cross Country Skiing,"30 kilometres, Men",Aleksey Prokurorov,URS,False,Vladimir Smirnov,URS,False,Vegard Ulvang,NOR,False
1988,Cross Country Skiing,"50 kilometres, Men",Gunde Svan,SWE,False,Maurilio De Zolt,ITA,False,Andi Grünenfelder,SUI,False
1988,Cross Country Skiing,"Relay, Men",Sweden,SWE,False,Soviet Union,URS,False,Czechoslovakia,TCH,False
1988,Cross Country Skiing,"5 kilometres, Women",Marjo Matikainen,FIN,False,Tamara Tikhonova,URS,False,Vida Vencienė,URS,False
1988,Cross Country Skiing,"10 kilometres, Women",Vida Vencienė,URS,False,Raisa Smetanina,URS,False,Marjo Matikainen,FIN,False
1988,Cross Country Skiing,"20 kilometres, Women",Tamara Tikhonova,URS,False,Anfisa Reztsova,URS,False,Raisa Smetanina,URS,False
1988,Cross Country Skiing,"Relay, Women",Soviet Union,URS,False,Norway,NOR,False,Finland,FIN,False
1988,Figure Skating,"Singles, Men",Brian Boitano,USA,False,Brian Orser,CAN,False,Viktor Petrenko,URS,False
1988,Figure Skating,"Singles, Women",Katarina Witt,GDR,False,Elizabeth Manley,CAN,False,Debi Thomas,USA,False
1988,Figure Skating,"Pairs, Mixed",Soviet Union 1,URS,False,Soviet Union 2,URS,False,United States 1,USA,False
1988,Figure Skating,"Ice Dance, Mixed",Soviet Union 1,URS,False,Soviet Union 2,URS,False,Canada 1,CAN,False
1988,Ice Hockey,"Ice Hockey, Men",Soviet Union,URS,False,Finland,FIN,False,Sweden,SWE,False
1988,Luge,"Singles, Men",Jens Müller,GDR,False,Georg Hackl,FRG,False,Yury Kharchenko,URS,False
1988,Luge,"Doubles, Men",East Germany 1,GDR,False,East Germany 2,GDR,False,West Germany 1,FRG,False
1988,Luge,"Singles, Women",Steffi Walter,GDR,False,Ute Oberhoffner,GDR,False,Cerstin Schmidt,GDR,False
1988,Nordic Combined,"Team, Men",West Germany,FRG,False,Switzerland,SUI,False,Austria,AUT,False
1988,Nordic Combined,"Individual, Men",Hippolyt Kempf,SUI,False,Klaus Sulzenbacher,AUT,False,Allar Levandi,URS,False
1988,Ski Jumping,"Normal Hill, Individual, Men",Matti Nykänen,FIN,False,Pavel Ploc,TCH,False,Jiří Malec,TCH,False
1988,Ski Jumping,"Large Hill, Individual, Men",Matti Nykänen,FIN,False,Erik Johnsen,NOR,False,Matjaž Debelak,YUG,False
1988,Ski Jumping,"Large Hill, Team, Men",Finland,FIN,False,Yugoslavia,YUG,False,Norway,NOR,False
1988,Speed Skating,"500 metres, Men",Uwe-Jens Mey,GDR,False,Jan Ykema,NED,False,Akira Kuroiwa,JPN,False
1988,Speed Skating,"1,000 metres, Men",Nikolay Gulyayev,URS,False,Uwe-Jens Mey,GDR,False,Ihar Zhaliasouski,URS,False
1988,Speed Skating,"1,500 metres, Men",André Hoffmann,GDR,False,Eric Flaim,USA,False,Michael Hadschieff,AUT,False
1988,Speed Skating,"5,000 metres, Men",Tomas Gustafson,SWE,False,Leo Visser,NED,False,Gerard Kemkers,NED,False
1988,Speed Skating,"10,000 metres, Men",Tomas Gustafson,SWE,False,Michael Hadschieff,AUT,False,Leo Visser,NED,False
1988,Speed Skating,"500 metres, Women",Bonnie Blair,USA,False,Christa Rothenburger,GDR,False,Karin Kania,GDR,False
1988,Speed Skating,"1,000 metres, Women",Christa Rothenburger,GDR,False,Karin Kania,GDR,False,Bonnie Blair,USA,False
1988,Speed Skating,"1,500 metres, Women",Yvonne van Gennip,NED,False,Karin Kania,GDR,False,Andrea Ehrig,GDR,False
1988,Speed Skating,"3,000 metres, Women",Yvonne van Gennip,NED,False,Andrea Ehrig,GDR,False,Gabi Zange,GDR,False
1988,Speed Skating,"5,000 metres, Women",Yvonne van Gennip,NED,False,Andrea Ehrig,GDR,False,Gabi Zange,GDR,False
1992,Alpine Skiing,"Downhill, Men",Patrick Ortlieb,AUT,False,Franck Piccard,FRA,False,Günther Mader,AUT,False
1992,Alpine Skiing,"Super G, Men",Kjetil André Aamodt,NOR,False,Marc Girardelli,LUX,False,Jan Einar Thorsen,NOR,False
1992,Alpine Skiing,"Giant Slalom, Men",Alberto Tomba,ITA,False,Marc Girardelli,LUX,False,Kjetil André Aamodt,NOR,False
1992,Alpine Skiing,"Slalom, Men",Finn Christian Jagge,NOR,False,Alberto Tomba,ITA,False,Michael Tritscher,AUT,False
1992,Alpine Skiing,"Combined, Men",Josef Polig,ITA,False,Gianfranco Martin,ITA,False,Steve Locher,SUI,False
1992,Alpine Skiing,"Downhill, Women",Kerrin Lee-Gartner,CAN,False,Hilary Lindh,USA,False,Veronika Wallinger,AUT,False
1992,Alpine Skiing,"Super G, Women",Deborah Compagnoni,ITA,False,Carole Merle,FRA,False,Katja Seizinger,GER,False
1992,Alpine Skiing,"Giant Slalom, Women",Pernilla Wiberg,SWE,False,Diann Roffe-SteinrotterAnita Wachter,USAAUT,True,—,—,False
1992,Alpine Skiing,"Slalom, Women",Petra Kronberger,AUT,False,Annelise Coberger,NZL,False,Blanca Fernández Ochoa,ESP,False
1992,Alpine Skiing,"Combined, Women",Petra Kronberger,AUT,False,Anita Wachter,AUT,False,Florence Masnada,FRA,False
1992,Biathlon,"Sprint, Men",Mark Kirchner,GER,False,Ricco Groß,GER,False,Harri Eloranta,FIN,False
1992,Biathlon,"Individual, Men",Yauhen Redzkin,EUN,False,Mark Kirchner,GER,False,Mikael Löfgren,SWE,False
1992,Biathlon,"Relay, Men",Germany,GER,False,Unified Team,EUN,False,Sweden,SWE,False
1992,Biathlon,"Sprint, Women",Anfisa Reztsova,EUN,False,Antje Misersky,GER,False,Yelena Belova,EUN,False
1992,Biathlon,"Individual, Women",Antje Misersky,GER,False,Svetlana Pechorskaya,EUN,False,Myriam Bédard,CAN,False
1992,Biathlon,"Relay, Women",France,FRA,False,Germany,GER,False,Unified Team,EUN,False
1992,Bobsleigh,"Two, Men",Switzerland 1,SUI,False,Germany 1,GER,False,Germany 2,GER,False
1992,Bobsleigh,"Four, Men",Austria 1,AUT,False,Germany 1,GER,False,Switzerland 1,SUI,False
1992,Cross Country Skiing,"10 kilometres, Men",Vegard Ulvang,NOR,False,Marco Albarello,ITA,False,Christer Majbäck,SWE,False
1992,Cross Country Skiing,"30 kilometres, Men",Vegard Ulvang,NOR,False,Bjørn Dæhlie,NOR,False,Terje Langli,NOR,False
1992,Cross Country Skiing,"50 kilometres, Men",Bjørn Dæhlie,NOR,False,Maurilio De Zolt,ITA,False,Giorgio Vanzetta,ITA,False
1992,Cross Country Skiing,"Skiathlon, Men",Bjørn Dæhlie,NOR,False,Vegard Ulvang,NOR,False,Giorgio Vanzetta,ITA,False
1992,Cross Country Skiing,"Relay, Men",Norway,NOR,False,Italy,ITA,False,Finland,FIN,False
1992,Cross Country Skiing,"5 kilometres, Women",Marjut Lukkarinen,FIN,False,Lyubov Yegorova,EUN,False,Yelena Välbe,EUN,False
1992,Cross Country Skiing,"15 kilometres, Women",Lyubov Yegorova,EUN,False,Marjut Lukkarinen,FIN,False,Yelena Välbe,EUN,False
1992,Cross Country Skiing,"30 kilometres, Women",Stefania Belmondo,ITA,False,Lyubov Yegorova,EUN,False,Yelena Välbe,EUN,False
1992,Cross Country Skiing,"Skiathlon, Women",Lyubov Yegorova,EUN,False,Stefania Belmondo,ITA,False,Yelena Välbe,EUN,False
1992,Cross Country Skiing,"Relay, Women",Unified Team,EUN,False,Norway,NOR,False,Italy,ITA,False
1992,Figure Skating,"Singles, Men",Viktor Petrenko,EUN,False,Paul Wylie,USA,False,Petr Barna,TCH,False
1992,Figure Skating,"Singles, Women",Kristi Yamaguchi,USA,False,Midori Ito,JPN,False,Nancy Kerrigan,USA,False
1992,Figure Skating,"Pairs, Mixed",Unified Team 1,EUN,False,Unified Team 2,EUN,False,Canada 1,CAN,False
1992,Figure Skating,"Ice Dance, Mixed",Unified Team 1,EUN,False,France 1,FRA,False,Unified Team 2,EUN,False
1992,Freestyle Skiing,"Moguls, Men",Edgar Grospiron,FRA,False,Olivier Allamand,FRA,False,Nelson Carmichael,USA,False
1992,Freestyle Skiing,"Moguls, Women",Donna Weinbrecht,USA,False,Yelizaveta Kozhevnikova,EUN,False,Stine Lise Hattestad,NOR,False
1992,Ice Hockey,"Ice Hockey, Men",Unified Team,EUN,False,Canada,CAN,False,Czechoslovakia,TCH,False
1992,Luge,"Singles, Men",Georg Hackl,GER,False,Markus Prock,AUT,False,Markus Schmidt,AUT,False
1992,Luge,"Doubles, Men",Germany 1,GER,False,Germany 2,GER,False,Italy 1,ITA,False
