year,sport,event,gold_name,gold_noc,tie_gold,silver_name,silver_noc,tie_silver,bronze_name,bronze_noc,tie_bronze
2014,Figure Skating,"Ice Dance, Mixed",United States 1,USA,False,Canada 1,CAN,False,Russian Federation 1,RUS,False
2014,Figure Skating,"Team, Mixed",Russian Federation,RUS,False,Canada,CAN,False,United States,USA,False
2014,Freestyle Skiing,"Moguls, Men",Alex Bilodeau,CAN,False,Mikaël Kingsbury,CAN,False,Aleksandr Smyshlyayev,RUS,False
2014,Freestyle Skiing,"Aerials, Men",Anton Kushnir,BLR,False,David Morris,AUS,False,Jia Zongyang,CHN,False
2014,Freestyle Skiing,"Ski Cross, Men",Jean-Frédéric Chapuis,FRA,False,Arnaud Bovolenta,FRA,False,Jonathan Midol,FRA,False
2014,Freestyle Skiing,"Halfpipe, Men",David Wise,USA,False,Mike Riddle,CAN,False,Kévin Rolland,FRA,False
2014,Freestyle Skiing,"Slopestyle, Men",Joss Christensen,USA,False,Gus Kenworthy,USA,False,Nick Goepper,USA,False
2014,Freestyle Skiing,"Moguls, Women",Justine Dufour-Lapointe,CAN,False,Chloé Dufour-Lapointe,CAN,False,Hannah Kearney,USA,False
2014,Freestyle Skiing,"Aerials, Women",Ala Tsuper,BLR,False,Xu Mengtao,CHN,False,Lydia Lassila,AUS,False
2014,Freestyle Skiing,"Ski Cross, Women",Marielle Thompson,CAN,False,Kelsey Serwa,CAN,False,Anna Holmlund,SWE,False
2014,Freestyle Skiing,"Halfpipe, Women",Maddie Bowman,USA,False,Marie Martinod,FRA,False,Ayana Onozuka,JPN,False
2014,Freestyle Skiing,"Slopestyle, Women",Dara Howell,CAN,False,Devin Logan,USA,False,Kim Lamarre,CAN,False
2014,Ice Hockey,"Ice Hockey, Men",Canada,CAN,False,Sweden,SWE,False,Finland,FIN,False
2014,Ice Hockey,"Ice Hockey, Women",Canada,CAN,False,United States,USA,False,Switzerland,SUI,False
2014,Luge,"Singles, Men",Felix Loch,GER,False,Albert Demchenko,RUS,False,Armin Zöggeler,ITA,False
2014,Luge,"Doubles, Men",Germany 1,GER,False,Austria 1,AUT,False,Latvia 1,LAT,False
2014,Luge,"Singles, Women",Natalie Geisenberger,GER,False,Tatjana Hüfner,GER,False,Erin Hamlin,USA,False
2014,Luge,"Team Relay, Mixed",Germany,GER,False,Russian Federation,RUS,False,Latvia,LAT,False
2014,Nordic Combined,"Team, Men",Norway,NOR,False,Germany,GER,False,Austria,AUT,False
2014,Nordic Combined,"Individual, Men",Eric Frenzel,GER,False,Akito Watabe,JPN,False,Magnus Krog,NOR,False
2014,Nordic Combined,"Sprint, Men",Jørgen Graabak,NOR,False,Magnus Moan,NOR,False,Fabian Rießle,GER,False
2014,Short Track Speed Skating,"500 metres, Men",Viktor An,RUS,False,Wu Dajing,CHN,False,Charle Cournoyer,CAN,False
2014,Short Track Speed Skating,"1,000 metres, Men",Viktor An,RUS,False,Vladimir Grigoryev,RUS,False,Sjinkie Knegt,NED,False
2014,Short Track Speed Skating,"1,500 metres, Men",Charles Hamelin,CAN,False,Han Tianyu,CHN,False,Viktor An,RUS,False
2014,Short Track Speed Skating,"Relay, Men",Russian Federation,RUS,False,United States,USA,False,People's Republic of China,CHN,False
2014,Short Track Speed Skating,"500 metres, Women",Li Jianrou,CHN,False,Arianna Fontana,ITA,False,Park Seung-Hui,KOR,False
2014,Short Track Speed Skating,"1,000 metres, Women",Park Seung-Hui,KOR,False,Fan Kexin,CHN,False,Sim Seok-Hui,KOR,False
2014,Short Track Speed Skating,"1,500 metres, Women",Zhou Yang,CHN,False,Sim Seok-Hui,KOR,False,Arianna Fontana,ITA,False
2014,Short Track Speed Skating,"Relay, Women",Republic of Korea,KOR,False,Canada,CAN,False,Italy,ITA,False
2014,Skeleton,"Skeleton, Men",Aleksandr Tretyakov,RUS,False,Martins Dukurs,LAT,False,Matt Antoine,USA,False
2014,Skeleton,"Skeleton, Women",Lizzy Yarnold,GBR,False,Noelle Pikus-Pace,USA,False,Yelena Nikitina,RUS,False
2014,Ski Jumping,"Normal Hill, Individual, Men",Kamil Stoch,POL,False,Peter Prevc,SLO,False,Anders Bardal,NOR,False
2014,Ski Jumping,"Large Hill, Individual, Men",Kamil Stoch,POL,False,Noriaki Kasai,JPN,False,Peter Prevc,SLO,False
2014,Ski Jumping,"Large Hill, Team, Men",Germany,GER,False,Austria,AUT,False,Japan,JPN,False
2014,Ski Jumping,"Normal Hill, Individual, Women",Carina Vogt,GER,False,Daniela Iraschko-Stolz,AUT,False,Coline Mattel,FRA,False
2014,Snowboarding,"Parallel Giant Slalom, Men",Vic Wild,RUS,False,Nevin Galmarini,SUI,False,Žan Košir,SLO,False
2014,Snowboarding,"Parallel Slalom, Men",Vic Wild,RUS,False,Žan Košir,SLO,False,Benjamin Karl,AUT,False
2014,Snowboarding,"Slopestyle, Men",Sage Kotsenburg,USA,False,Ståle Sandbech,NOR,False,Mark McMorris,CAN,False
2014,Snowboarding,"Halfpipe, Men",Iouri Podladtchikov,SUI,False,Ayumu Hirano,JPN,False,Taku Hiraoka,JPN,False
2014,Snowboarding,"Cross, Men",Pierre Vaultier,FRA,False,Nikolay Olyunin,RUS,False,Alex Deibold,USA,False
2014,Snowboarding,"Parallel Giant Slalom, Women",Patrizia Kummer,SUI,False,Tomoka Takeuchi,JPN,False,Alyona Zavarzina,RUS,False
2014,Snowboarding,"Parallel Slalom, Women",Julia Dujmovits,AUT,False,Anke Karstens,GER,False,Amelie Kober,GER,False
2014,Snowboarding,"Slopestyle, Women",Jamie Anderson,USA,False,Enni Rukajärvi,FIN,False,Jenny Jones,GBR,False
2014,Snowboarding,"Halfpipe, Women",Kaitlyn Farrington,USA,False,Torah Bright,AUS,False,Kelly Clark,USA,False
2014,Snowboarding,"Cross, Women",Eva Samková,CZE,False,Dominique Maltais,CAN,False,Chloé Trespeuch,FRA,False
2014,Speed Skating,"500 metres, Men",Michel Mulder,NED,False,Jan Smeekens,NED,False,Ronald Mulder,NED,False
2014,Speed Skating,"1,000 metres, Men",Stefan Groothuis,NED,False,Denny Morrison,CAN,False,Michel Mulder,NED,False
2014,Speed Skating,"1,500 metres, Men",Zbigniew Bródka,POL,False,Koen Verweij,NED,False,Denny Morrison,CAN,False
2014,Speed Skating,"5,000 metres, Men",Sven Kramer,NED,False,Jan Blokhuijsen,NED,False,Jorrit Bergsma,NED,False
2014,Speed Skating,"10,000 metres, Men",Jorrit Bergsma,NED,False,Sven Kramer,NED,False,Bob de Jong,NED,False
2014,Speed Skating,"Team Pursuit (8 laps), Men",Netherlands,NED,False,Republic of Korea,KOR,False,Poland,POL,False
2014,Speed Skating,"500 metres, Women",Lee Sang-Hwa,KOR,False,Olga Fatkulina,RUS,False,Margot Boer,NED,False
2014,Speed Skating,"1,000 metres, Women",Zhang Hong,CHN,False,Ireen Wüst,NED,False,Margot Boer,NED,False
2014,Speed Skating,"1,500 metres, Women",Jorien ter Mors,NED,False,Ireen Wüst,NED,False,Lotte van Beek,NED,False
2014,Speed Skating,"3,000 metres, Women",Ireen Wüst,NED,False,Martina Sáblíková,CZE,False,Olga Graf,RUS,False
2014,Speed Skating,"5,000 metres, Women",Martina Sáblíková,CZE,False,Ireen Wüst,NED,False,Carien Kleibeuker,NED,False
2014,Speed Skating,"Team Pursuit (6 laps), Women",Netherlands,NED,False,Poland,POL,False,Russian Federation,RUS,False
2018,Alpine Skiing,"Downhill, Men",Aksel Lund Svindal,NOR,False,Kjetil Jansrud,NOR,False,Beat Feuz,SUI,False
2018,Alpine Skiing,"Super G, Men",Matthias Mayer,AUT,False,Beat Feuz,SUI,False,Kjetil Jansrud,NOR,False
2018,Alpine Skiing,"Giant Slalom, Men",Marcel Hirscher,AUT,False,Henrik Kristoffersen,NOR,False,Alexis Pinturault,FRA,False
2018,Alpine Skiing,"Slalom, Men",André Myhrer,SWE,False,Ramon Zenhäusern,SUI,False,Michael Matt,AUT,False
2018,Alpine Skiing,"Combined, Men",Marcel Hirscher,AUT,False,Alexis Pinturault,FRA,False,Victor Muffat-Jeandet,FRA,False
2018,Alpine Skiing,"Downhill, Women",Sofia Goggia,ITA,False,Ragnhild Mowinckel,NOR,False,Lindsey Vonn,USA,False
2018,Alpine Skiing,"Super G, Women",Ester Ledecká,CZE,False,Anna Veith,AUT,False,Tina Weirather,LIE,False
2018,Alpine Skiing,"Giant Slalom, Women",Mikaela Shiffrin,USA,False,Ragnhild Mowinckel,NOR,False,Federica Brignone,ITA,False
2018,Alpine Skiing,"Slalom, Women",Frida Hansdotter,SWE,False,Wendy Holdener,SUI,False,Katharina Gallhuber,AUT,False
2018,Alpine Skiing,"Combined, Women",Michelle Gisin,SUI,False,Mikaela Shiffrin,USA,False,Wendy Holdener,SUI,False
2018,Alpine Skiing,"Team, Mixed",Switzerland,SUI,False,Austria,AUT,False,Norway,NOR,False
2018,Biathlon,"Sprint, Men",Arnd Peiffer,GER,False,Michal Krčmář,CZE,False,Dominik Windisch,ITA,False
2018,Biathlon,"Pursuit, Men",Martin Fourcade,FRA,False,Sebastian Samuelsson,SWE,False,Benedikt Doll,GER,False
2018,Biathlon,"Mass Start, Men",Martin Fourcade,FRA,False,Simon Schempp,GER,False,Emil Hegle Svendsen,NOR,False
2018,Biathlon,"Individual, Men",Johannes Thingnes Bø,NOR,False,Jakov Fak,SLO,False,Dominik Landertinger,AUT,False
2018,Biathlon,"Relay, Men",Sweden,SWE,False,Norway,NOR,False,Germany,GER,False
2018,Biathlon,"Sprint, Women",Laura Dahlmeier,GER,False,Marte Olsbu,NOR,False,Veronika Vítková,CZE,False
2018,Biathlon,"Pursuit, Women",Laura Dahlmeier,GER,False,Anastasia Kuzmina,SVK,False,Anaïs Bescond,FRA,False
2018,Biathlon,"Mass Start, Women",Anastasia Kuzmina,SVK,False,Daria Domrachava,BLR,False,Tiril Eckhoff,NOR,False
2018,Biathlon,"Individual, Women",Hanna Öberg,SWE,False,Anastasia Kuzmina,SVK,False,Laura Dahlmeier,GER,False
2018,Biathlon,"Relay, Women",Belarus,BLR,False,Sweden,SWE,False,France,FRA,False
2018,Biathlon,"Relay, Mixed",France,FRA,False,Norway,NOR,False,Italy,ITA,False
2018,Bobsleigh,"Two, Men",Canada 1Germany 2,CANGER,True,—,—,False,Latvia 2,LAT,False
2018,Bobsleigh,"Four, Men",Germany 2,GER,False,Germany 3Republic of Korea 1,GERKOR,True,—,—,False
2018,Bobsleigh,"Two, Women",Germany 1,GER,False,United States 1,USA,False,Canada 1,CAN,False
2018,Cross Country Skiing,"Sprint, Men",Johannes Høsflot Klæbo,NOR,False,Federico Pellegrino,ITA,False,Aleksandr Bolshunov,ROC,False
2018,Cross Country Skiing,"15 kilometres, Men",Dario Cologna,SUI,False,Simen Hegstad Krüger,NOR,False,Denis Spitsov,ROC,False
2018,Cross Country Skiing,"50 kilometres, Men",Iivo Niskanen,FIN,False,Aleksandr Bolshunov,ROC,False,Andrey Larkov,ROC,False
2018,Cross Country Skiing,"Skiathlon, Men",Simen Hegstad Krüger,NOR,False,Martin Johnsrud Sundby,NOR,False,Hans Christer Holund,NOR,False
2018,Cross Country Skiing,"Relay, Men",Norway,NOR,False,Olympic Athletes from Russia,ROC,False,France,FRA,False
2018,Cross Country Skiing,"Team Sprint, Men",Norway,NOR,False,Olympic Athletes from Russia,ROC,False,France,FRA,False
2018,Cross Country Skiing,"Sprint, Women",Stina Nilsson,SWE,False,Maiken Caspersen Falla,NOR,False,Yuliya Belorukova,ROC,False
2018,Cross Country Skiing,"10 kilometres, Women",Ragnhild Haga,NOR,False,Charlotte Kalla,SWE,False,Marit BjørgenKrista Pärmäkoski,NORFIN,True
2018,Cross Country Skiing,"30 kilometres, Women",Marit Bjørgen,NOR,False,Krista Pärmäkoski,FIN,False,Stina Nilsson,SWE,False
2018,Cross Country Skiing,"Skiathlon, Women",Charlotte Kalla,SWE,False,Marit Bjørgen,NOR,False,Krista Pärmäkoski,FIN,False
2018,Cross Country Skiing,"Relay, Women",Norway,NOR,False,Sweden,SWE,False,Olympic Athletes from Russia,ROC,False
2018,Cross Country Skiing,"Team Sprint, Women",United States,USA,False,Sweden,SWE,False,Norway,NOR,False
2018,Curling,"Team, Men",United States,USA,False,Sweden,SWE,False,Switzerland,SUI,False
2018,Curling,"Team, Women",Sweden,SWE,False,Republic of Korea,KOR,False,Japan,JPN,False
2018,Curling,"Doubles, Mixed",Canada,CAN,False,Switzerland,SUI,False,Norway,NOR,False
2018,Figure Skating,"Singles, Men",Yuzuru Hanyu,JPN,False,Shoma Uno,JPN,False,Javier Fernández,ESP,False
