year,event,noc,medal,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1936,"Four, Men",GBR,bronze,GBR,,,GER,0,,
1936,"Ice Hockey, Men",GBR,gold,GBR,,,GER,0,,
1936,"Singles, Women",GBR,silver,GBR,,,GER,0,,
1936,"Combined, Men",GER,gold,DEU,,,GER,1,,
1936,"Combined, Women",GER,gold,DEU,,,GER,1,,
1936,"Pairs, Mixed",GER,gold,DEU,,,GER,1,,
1936,"Combined, Men",GER,silver,DEU,,,GER,1,,
1936,"Combined, Women",GER,silver,DEU,,,GER,1,,
1936,"Singles, Men",GER,silver,DEU,,,GER,1,,
1936,"Pairs, Mixed",HUN,bronze,HUN,,,GER,0,,
1936,"Combined, Women",NOR,bronze,NOR,,,GER,0,,
1936,"Individual, Men",NOR,bronze,NOR,,,GER,0,,
1936,"Large Hill, Individual, Men",NOR,bronze,NOR,,,GER,0,,
1936,"Singles, Women",NOR,gold,NOR,,,GER,0,,
1936,"Individual, Men",NOR,gold,NOR,,,GER,0,,
1936,"Large Hill, Individual, Men",NOR,gold,NOR,,,GER,0,,
1936,"500 metres, Men",NOR,gold,NOR,,,GER,0,,
1936,"1,500 metres, Men",NOR,gold,NOR,,,GER,0,,
1936,"5,000 metres, Men",NOR,gold,NOR,,,GER,0,,
1936,"10,000 metres, Men",NOR,gold,NOR,,,GER,0,,
1936,"18 kilometres, Men",NOR,silver,NOR,,,GER,0,,
1936,"Relay, Men",NOR,silver,NOR,,,GER,0,,
1936,"Individual, Men",NOR,silver,NOR,,,GER,0,,
1936,"500 metres, Men",NOR,silver,NOR,,,GER,0,,
1936,"1,500 metres, Men",NOR,silver,NOR,,,GER,0,,
1936,"Four, Men",SUI,gold,CHE,,,GER,0,,
1936,"Two, Men",SUI,silver,CHE,,,GER,0,,
1936,"Four, Men",SUI,silver,CHE,,,GER,0,,
1936,"50 kilometres, Men",SWE,bronze,SWE,,,GER,0,,
1936,"Relay, Men",SWE,bronze,SWE,,,GER,0,,
1936,"Singles, Women",SWE,bronze,SWE,,,GER,0,,
1936,"18 kilometres, Men",SWE,gold,SWE,,,GER,0,,
1936,"50 kilometres, Men",SWE,gold,SWE,,,GER,0,,
1936,"50 kilometres, Men",SWE,silver,SWE,,,GER,0,,
1936,"Large Hill, Individual, Men",SWE,silver,SWE,,,GER,0,,
1936,"Two, Men",USA,bronze,USA,,,GER,0,,
1936,"Ice Hockey, Men",USA,bronze,USA,,,GER,0,,
1936,"500 metres, Men",USA,bronze,USA,,,GER,0,,
1936,"Two, Men",USA,gold,USA,,,GER,0,,
1948,"Downhill, Women",AUT,bronze,AUT,,,SUI,0,,
1948,"Slalom, Women",AUT,bronze,AUT,,,SUI,0,,
1948,"Combined, Women",AUT,bronze,AUT,,,SUI,0,,
1948,"Singles, Men",AUT,bronze,AUT,,,SUI,0,,
1948,"Combined, Women",AUT,gold,AUT,,,SUI,0,,
1948,"Downhill, Men",AUT,silver,AUT,,,SUI,0,,
1948,"Downhill, Women",AUT,silver,AUT,,,SUI,0,,
1948,"Singles, Women",AUT,silver,AUT,,,SUI,0,,
1948,"Pairs, Mixed",BEL,gold,BEL,,,SUI,0,,
1948,"Four, Men",BEL,silver,BEL,,,SUI,0,,
1948,"Pairs, Mixed",CAN,bronze,CAN,,,SUI,0,,
1948,"Singles, Women",CAN,gold,CAN,,,SUI,0,,
1948,"Ice Hockey, Men",CAN,gold,CAN,,,SUI,0,,
1948,"50 kilometres, Men",FIN,bronze,FIN,,,SUI,0,,
1948,"10,000 metres, Men",FIN,bronze,FIN,,,SUI,0,,
1948,"Individual, Men",FIN,gold,FIN,,,SUI,0,,
1948,"Relay, Men",FIN,silver,FIN,,,SUI,0,,
1948,"Individual, Men",FIN,silver,FIN,,,SUI,0,,
1948,"10,000 metres, Men",FIN,silver,FIN,,,SUI,0,,
1948,"Slalom, Men",FRA,bronze,FRA,,,SUI,0,,
1948,"Combined, Men",FRA,bronze,FRA,,,SUI,0,,
1948,"Downhill, Men",FRA,gold,FRA,,,SUI,0,,
1948,"Combined, Men",FRA,gold,FRA,,,SUI,0,,
1948,"Slalom, Men",FRA,silver,FRA,,,SUI,0,,
1948,"Singles, Women",GBR,bronze,GBR,,,SUI,0,,
1948,"Skeleton, Men",GBR,bronze,GBR,,,SUI,0,,
1948,"Pairs, Mixed",HUN,silver,HUN,,,SUI,0,,
1948,"Skeleton, Men",ITA,gold,ITA,,,SUI,0,,
1948,"Relay, Men",NOR,bronze,NOR,,,SUI,0,,
1948,"Large Hill, Individual, Men",NOR,bronze,NOR,,,SUI,0,,
1948,"1,500 metres, Men",NOR,bronze,NOR,,,SUI,0,,
1948,"Large Hill, Individual, Men",NOR,gold,NOR,,,SUI,0,,
1948,"500 metres, Men",NOR,gold,NOR,,,SUI,0,,
1948,"1,500 metres, Men",NOR,gold,NOR,,,SUI,0,,
1948,"5,000 metres, Men",NOR,gold,NOR,,,SUI,0,,
1948,"Large Hill, Individual, Men",NOR,silver,NOR,,,SUI,0,,
1948,"5,000 metres, Men",NOR,silver,NOR,,,SUI,0,,
1948,"500 metres, Men",NOR,silver,NOR,,,SUI,0,,
1948,"Ice Hockey, Men",SUI,bronze,CHE,,,SUI,1,,
1948,"Downhill, Men",SUI,bronze,CHE,,,SUI,1,,
1948,"Slalom, Men",SUI,gold,CHE,,,SUI,1,,
1948,"Downhill, Women",SUI,gold,CHE,,,SUI,1,,
1948,"Two, Men",SUI,gold,CHE,,,SUI,1,,
1948,"Combined, Men",SUI,silver,CHE,,,SUI,1,,
1948,"Slalom, Women",SUI,silver,CHE,,,SUI,1,,
1948,"Two, Men",SUI,silver,CHE,,,SUI,1,,
1948,"Singles, Men",SUI,silver,CHE,,,SUI,1,,
1948,"18 kilometres, Men",SWE,bronze,SWE,,,SUI,0,,
1948,"Individual, Men",SWE,bronze,SWE,,,SUI,0,,
1948,"5,000 metres, Men",SWE,bronze,SWE,,,SUI,0,,
1948,"18 kilometres, Men",SWE,gold,SWE,,,SUI,0,,
1948,"50 kilometres, Men",SWE,gold,SWE,,,SUI,0,,
1948,"Relay, Men",SWE,gold,SWE,,,SUI,0,,
1948,"10,000 metres, Men",SWE,gold,SWE,,,SUI,0,,
1948,"18 kilometres, Men",SWE,silver,SWE,,,SUI,0,,
1948,"50 kilometres, Men",SWE,silver,SWE,,,SUI,0,,
1948,"1,500 metres, Men",SWE,silver,SWE,,,SUI,0,,
1948,"Ice Hockey, Men",TCH,silver,CZE,,,SUI,0,,
1948,"Two, Men",USA,bronze,USA,,,SUI,0,,
1948,"Four, Men",USA,bronze,USA,,,SUI,0,,
1948,"Slalom, Women",USA,gold,USA,,,SUI,0,,
