year,event,medal,noc,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1964,"Relay, Women",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1964,"Singles, Men",gold,GER,DEU,1637.45522773672,75318337.0,AUT,0,7.400898625295441,18.13723418238043
1964,"Singles, Women",gold,NED,NLD,1668.33086114697,12127120.0,AUT,0,7.4195789212501255,16.31095482486498
1964,"Pairs, Mixed",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1964,"Ice Hockey, Men",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1964,"Singles, Men",gold,GER,DEU,1637.45522773672,75318337.0,AUT,0,7.400898625295441,18.13723418238043
1964,"Doubles, Men",gold,AUT,AUT,1275.45715281679,7223801.0,AUT,1,7.15105994455725,15.792891826634193
1964,"Singles, Women",gold,GER,DEU,1637.45522773672,75318337.0,AUT,0,7.400898625295441,18.13723418238043
1964,"Individual, Men",gold,NOR,NOR,1950.69324222931,3694339.0,AUT,0,7.575940097215043,15.122312205969223
1964,"Normal Hill, Individual, Men",gold,FIN,FIN,1725.60483489826,4548543.0,AUT,0,7.453332896936031,15.330317519865611
1964,"Large Hill, Individual, Men",gold,NOR,NOR,1950.69324222931,3694339.0,AUT,0,7.575940097215043,15.122312205969223
1964,"500 metres, Men",gold,USA,USA,3565.31443016356,191889000.0,AUT,0,8.17900752816344,19.072427637813362
1964,"1,500 metres, Men",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1964,"5,000 metres, Men",gold,NOR,NOR,1950.69324222931,3694339.0,AUT,0,7.575940097215043,15.122312205969223
1964,"10,000 metres, Men",gold,SWE,SWE,2961.02884624727,7661354.0,AUT,0,7.993292070116707,15.85169928849823
1964,"500 metres, Women",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1964,"1,000 metres, Women",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1964,"1,500 metres, Women",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1964,"3,000 metres, Women",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1968,"Downhill, Men",gold,FRA,FRA,2518.15825593491,51112980.0,FRA,1,7.831283062484331,17.749549034660095
1968,"Giant Slalom, Men",gold,FRA,FRA,2518.15825593491,51112980.0,FRA,1,7.831283062484331,17.749549034660095
1968,"Slalom, Men",gold,FRA,FRA,2518.15825593491,51112980.0,FRA,1,7.831283062484331,17.749549034660095
1968,"Downhill, Women",gold,AUT,AUT,1685.66211669148,7415403.0,FRA,0,7.429913713194159,15.819069881369275
1968,"Giant Slalom, Women",gold,CAN,CAN,3473.23722551871,20744000.0,FRA,0,8.152842356060273,16.847767606200637
1968,"Slalom, Women",gold,FRA,FRA,2518.15825593491,51112980.0,FRA,1,7.831283062484331,17.749549034660095
1968,"Individual, Men",gold,NOR,NOR,2679.71300438189,3816486.0,FRA,0,7.893464979853377,15.154840661931477
1968,"Relay, Men",gold,URS,RUS,,128928000.0,FRA,0,,18.67476466697321
1968,"Two, Men",gold,ITA,ITA,1718.49646427147,53235750.0,FRA,0,7.449205038837362,17.790240721107228
1968,"Four, Men",gold,ITA,ITA,1718.49646427147,53235750.0,FRA,0,7.449205038837362,17.790240721107228
1968,"15 kilometres, Men",gold,NOR,NOR,2679.71300438189,3816486.0,FRA,0,7.893464979853377,15.154840661931477
1968,"30 kilometres, Men",gold,ITA,ITA,1718.49646427147,53235750.0,FRA,0,7.449205038837362,17.790240721107228
1968,"50 kilometres, Men",gold,NOR,NOR,2679.71300438189,3816486.0,FRA,0,7.893464979853377,15.154840661931477
1968,"Relay, Men",gold,NOR,NOR,2679.71300438189,3816486.0,FRA,0,7.893464979853377,15.154840661931477
1968,"5 kilometres, Women",gold,SWE,SWE,3953.08297234501,7912273.0,FRA,0,8.282251052791812,15.883925656239468
1968,"10 kilometres, Women",gold,SWE,SWE,3953.08297234501,7912273.0,FRA,0,8.282251052791812,15.883925656239468
1968,"Relay, Women",gold,NOR,NOR,2679.71300438189,3816486.0,FRA,0,7.893464979853377,15.154840661931477
1968,"Singles, Men",gold,AUT,AUT,1685.66211669148,7415403.0,FRA,0,7.429913713194159,15.819069881369275
1968,"Singles, Women",gold,USA,USA,4684.58840293763,200706000.0,FRA,0,8.45203333658422,19.117351708685927
1968,"Pairs, Mixed",gold,URS,RUS,,128928000.0,FRA,0,,18.67476466697321
1968,"Ice Hockey, Men",gold,URS,RUS,,128928000.0,FRA,0,,18.67476466697321
1968,"Singles, Men",gold,AUT,AUT,1685.66211669148,7415403.0,FRA,0,7.429913713194159,15.819069881369275
1968,"Doubles, Men",gold,GDR,DEU,2025.08159465853,77294314.0,FRA,0,7.613365272387405,18.16313095328424
1968,"Singles, Women",gold,ITA,ITA,1718.49646427147,53235750.0,FRA,0,7.449205038837362,17.790240721107228
1968,"Individual, Men",gold,FRG,DEU,2025.08159465853,77294314.0,FRA,0,7.613365272387405,18.16313095328424
1968,"Normal Hill, Individual, Men",gold,TCH,CZE,,9876346.0,FRA,0,,16.10565316326041
1968,"Large Hill, Individual, Men",gold,URS,RUS,,128928000.0,FRA,0,,18.67476466697321
1968,"500 metres, Men",gold,FRG,DEU,2025.08159465853,77294314.0,FRA,0,7.613365272387405,18.16313095328424
1968,"1,500 metres, Men",gold,NED,NLD,2364.3594192663,12729721.0,FRA,0,7.768262405576017,16.359450053561286
1968,"5,000 metres, Men",gold,NOR,NOR,2679.71300438189,3816486.0,FRA,0,7.893464979853377,15.154840661931477
1968,"10,000 metres, Men",gold,SWE,SWE,3953.08297234501,7912273.0,FRA,0,8.282251052791812,15.883925656239468
1968,"500 metres, Women",gold,URS,RUS,,128928000.0,FRA,0,,18.67476466697321
